okres;orp;pohlavi;vek_kat;komplikovany;jip;kyslik;upv;ecmo;delka_hosp;stav;pocet_pac
CZ0421;4202;Z;65+;;;0;0;0;2 dny;Propuštěn;7
CZ0513;5105;M;65+;1;1;1;1;0;8-14 dní;Propuštěn;4
CZ0512;5108;Z;65+;1;1;1;1;0;15+ dní;Propuštěn;1
CZ0209;2003;M;65+;1;1;0;0;0;8-14 dní;Zemřel;1
CZ0643;6409;Z;65+;1;1;1;0;0;15+ dní;Propuštěn;3
CZ0514;5109;M;65+;;;1;0;0;3-7 dní;Propuštěn;3
CZ0324;3210;Z;20-64;;;1;0;0;8-14 dní;Hospitalizován;1
CZ0512;5108;Z;65+;;1;1;0;0;15+ dní;Propuštěn;1
CZ0511;5101;M;20-64;;;1;0;0;3-7 dní;Zemřel;1
CZ0645;6418;Z;65+;;;0;0;0;3-7 dní;Hospitalizován;2
CZ0412;4106;M;20-64;;;1;0;0;2 dny;Propuštěn;3
CZ0643;6417;M;20-64;;;0;0;0;3-7 dní;Propuštěn;4
CZ0804;8005;M;65+;;;1;0;0;8-14 dní;Propuštěn;7
CZ0647;9999;M;65+;;;1;0;0;2 dny;Propuštěn;1
CZ0321;3202;Z;20-64;1;1;0;1;0;15+ dní;Propuštěn;1
CZ020C;2021;Z;65+;;;0;0;0;8-14 dní;Propuštěn;20
CZ0802;8010;M;65+;1;1;0;1;0;15+ dní;Zemřel;1
CZ0514;5107;M;20-64;1;1;1;1;0;15+ dní;Zemřel;1
CZ0317;3112;Z;0-19;;;0;0;0;2 dny;Propuštěn;1
CZ0635;6301;Z;65+;;;1;0;0;2 dny;Zemřel;2
CZ0802;8006;M;20-64;;;1;0;0;2 dny;Zemřel;1
CZ0511;5101;M;65+;1;;1;0;0;15+ dní;Zemřel;3
CZ0532;5309;M;20-64;;;1;0;0;8-14 dní;Propuštěn;37
CZ0804;8016;Z;20-64;;;0;0;0;8-14 dní;Propuštěn;5
CZ0514;5104;Z;65+;1;1;1;1;0;15+ dní;Propuštěn;1
CZ0804;8015;Z;65+;1;;1;0;0;3-7 dní;Zemřel;2
CZ0531;5304;M;65+;;;0;0;0;2 dny;Hospitalizován;2
CZ0532;9999;Z;65+;;1;1;0;0;3-7 dní;Propuštěn;1
CZ0424;4207;M;65+;1;;1;0;0;3-7 dní;Zemřel;2
CZ0644;6404;M;20-64;;;0;0;0;1 den;Propuštěn;5
CZ0321;3204;M;65+;;;1;0;0;8-14 dní;Propuštěn;3
CZ0511;5101;M;65+;;;1;0;0;1 den;Propuštěn;2
CZ0642;6403;Z;65+;;;0;0;0;3-7 dní;Zemřel;3
CZ0803;8008;Z;20-64;1;1;1;0;0;8-14 dní;Hospitalizován;1
CZ0724;7213;Z;65+;;;1;0;0;1 den;Propuštěn;1
CZ0208;2018;M;20-64;;;1;0;0;8-14 dní;Propuštěn;7
CZ0312;3106;M;65+;;;1;0;0;2 dny;Hospitalizován;1
CZ0533;5308;Z;65+;1;1;1;1;0;15+ dní;Propuštěn;1
CZ0322;3214;Z;65+;1;;1;0;0;3-7 dní;Propuštěn;1
CZ0513;5105;Z;20-64;;;1;0;0;8-14 dní;Hospitalizován;1
CZ0647;6412;M;65+;;;1;0;0;15+ dní;Hospitalizován;1
CZ0722;7207;Z;20-64;;;0;0;0;3-7 dní;Hospitalizován;2
CZ0522;5207;M;65+;;;0;0;0;1 den;Propuštěn;1
CZ0209;2003;Z;65+;1;;1;0;0;3-7 dní;Zemřel;3
CZ0643;9999;M;65+;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0721;7203;Z;65+;;;0;0;0;15+ dní;Propuštěn;19
CZ0206;2014;M;20-64;;;0;0;0;2 dny;Propuštěn;2
CZ0511;5106;M;20-64;;;1;0;0;8-14 dní;Propuštěn;5
CZ0533;5307;M;20-64;;;1;0;0;15+ dní;Propuštěn;3
CZ0412;4103;Z;65+;1;1;1;0;0;15+ dní;Propuštěn;3
CZ0724;7211;Z;65+;;;1;0;0;8-14 dní;Zemřel;2
CZ0513;5102;M;65+;1;1;0;0;0;8-14 dní;Propuštěn;1
CZ0315;3109;Z;65+;1;1;1;0;0;15+ dní;Zemřel;1
CZ0633;6310;M;65+;1;1;0;1;0;8-14 dní;Zemřel;3
CZ0641;6402;M;65+;1;1;0;1;0;8-14 dní;Zemřel;4
CZ0204;2006;Z;65+;;;1;0;0;2 dny;Propuštěn;1
CZ0424;4216;Z;65+;1;1;1;1;0;8-14 dní;Zemřel;1
CZ0514;5104;M;65+;;;1;0;0;1 den;Hospitalizován;1
CZ0644;6407;M;65+;;;1;0;0;8-14 dní;Propuštěn;13
CZ0645;6410;M;65+;;;1;0;0;3-7 dní;Zemřel;8
CZ0411;4102;M;65+;1;1;1;0;0;8-14 dní;Propuštěn;3
CZ0514;5107;Z;20-64;;;1;0;0;3-7 dní;Hospitalizován;3
CZ0643;6417;Z;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0635;6315;M;20-64;;;0;0;0;15+ dní;Propuštěn;1
CZ0806;9999;M;65+;;1;1;0;0;3-7 dní;Propuštěn;1
CZ0712;7107;M;20-64;1;1;1;1;0;15+ dní;Zemřel;5
CZ0641;6401;Z;65+;1;1;1;0;0;8-14 dní;Propuštěn;1
CZ0534;5313;Z;65+;1;;1;0;0;2 dny;Propuštěn;1
CZ0524;5213;M;65+;1;;1;0;0;3-7 dní;Zemřel;4
CZ0208;2013;M;20-64;;;1;0;0;3-7 dní;Propuštěn;5
CZ0317;3112;Z;65+;;1;1;0;0;3-7 dní;Zemřel;2
CZ020B;2020;M;0-19;;;0;0;0;2 dny;Propuštěn;1
CZ0803;8018;Z;20-64;;;0;0;0;2 dny;Propuštěn;4
CZ0722;7207;M;65+;1;1;1;0;0;8-14 dní;Propuštěn;3
CZ020A;2005;M;20-64;;1;1;0;0;15+ dní;Propuštěn;1
CZ0311;3102;Z;20-64;1;1;1;1;0;15+ dní;Hospitalizován;1
CZ0802;8021;M;65+;;;0;0;0;15+ dní;Zemřel;1
CZ0534;5313;M;0-19;;;0;0;0;8-14 dní;Propuštěn;2
CZ0315;3109;Z;65+;1;1;0;1;0;15+ dní;Zemřel;1
CZ0321;3202;M;65+;;1;1;0;0;15+ dní;Propuštěn;2
CZ0805;8017;Z;65+;1;1;1;0;0;8-14 dní;Zemřel;4
CZ0806;8019;M;65+;;;0;0;0;2 dny;Zemřel;1
CZ0714;7101;M;65+;1;1;0;1;0;15+ dní;Propuštěn;1
CZ0413;4104;M;65+;1;;1;0;0;15+ dní;Hospitalizován;1
CZ0532;5303;M;65+;1;;1;0;0;15+ dní;Zemřel;1
CZ0324;3212;Z;65+;1;1;0;1;0;8-14 dní;Propuštěn;1
CZ0645;6418;M;65+;;;1;0;0;15+ dní;Propuštěn;6
CZ0631;9999;M;65+;1;1;0;1;0;15+ dní;Zemřel;1
CZ0411;4102;Z;65+;;;0;0;0;3-7 dní;Zemřel;2
CZ0323;3209;Z;65+;1;;0;0;0;8-14 dní;Propuštěn;2
CZ0633;6309;Z;65+;;;1;0;0;1 den;Propuštěn;3
CZ0531;5304;M;20-64;;1;1;0;0;15+ dní;Hospitalizován;1
CZ0633;6303;M;65+;1;;1;0;0;8-14 dní;Zemřel;2
CZ0321;3202;M;65+;1;;1;0;0;15+ dní;Propuštěn;1
CZ0712;7107;M;20-64;1;1;1;0;0;3-7 dní;Propuštěn;1
CZ0209;2022;Z;20-64;1;1;1;0;0;15+ dní;Propuštěn;1
CZ0316;3111;M;20-64;;;0;0;0;3-7 dní;Propuštěn;7
CZ0204;2010;M;20-64;1;1;0;1;0;8-14 dní;Hospitalizován;1
CZ0321;3204;Z;65+;;1;0;0;0;15+ dní;Propuštěn;1
CZ0721;7201;M;20-64;1;1;1;0;0;1 den;Propuštěn;1
CZ0202;2002;Z;65+;;;1;0;0;1 den;Hospitalizován;1
CZ0422;4204;M;65+;1;1;1;0;0;8-14 dní;Hospitalizován;1
CZ0801;8003;M;20-64;;;1;0;0;15+ dní;Propuštěn;1
CZ0325;3208;M;65+;1;1;1;0;0;15+ dní;Zemřel;1
CZ0525;5214;Z;20-64;1;1;0;1;0;2 dny;Zemřel;2
CZ0312;3103;Z;20-64;;;0;0;0;2 dny;Hospitalizován;1
CZ0522;9999;M;20-64;;;1;0;0;3-7 dní;Propuštěn;1
CZ0641;6402;M;65+;;;1;0;0;1 den;Hospitalizován;1
CZ0208;2018;Z;65+;;;1;0;0;8-14 dní;Zemřel;4
CZ0643;6409;Z;65+;;1;1;0;0;8-14 dní;Zemřel;1
CZ0803;8004;M;20-64;;;0;0;0;1 den;Propuštěn;1
CZ0723;7210;M;20-64;;1;1;0;0;1 den;Propuštěn;1
CZ0205;2004;Z;65+;1;1;1;0;0;8-14 dní;Hospitalizován;1
CZ0324;3201;Z;65+;;;1;0;0;8-14 dní;Hospitalizován;1
CZ0521;5205;Z;65+;1;1;0;1;0;3-7 dní;Zemřel;1
CZ0316;3111;M;65+;;;0;0;0;8-14 dní;Hospitalizován;1
CZ0715;7106;M;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0641;6401;M;20-64;;1;0;0;0;15+ dní;Propuštěn;1
CZ0802;8021;M;20-64;;;0;0;0;15+ dní;Propuštěn;2
CZ0802;8010;Z;65+;;;0;0;0;3-7 dní;Propuštěn;6
CZ0524;5202;Z;65+;1;1;1;0;0;8-14 dní;Hospitalizován;1
CZ0311;3102;Z;65+;1;;1;0;0;1 den;Propuštěn;1
CZ0424;4216;M;20-64;;1;1;0;0;3-7 dní;Propuštěn;2
CZ0427;9999;M;20-64;;;1;0;0;15+ dní;Propuštěn;1
CZ0206;2017;M;20-64;;;1;0;0;2 dny;Propuštěn;2
CZ0805;8022;Z;65+;;;1;0;0;8-14 dní;Propuštěn;9
CZ0647;6412;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;1
CZ0423;4205;M;20-64;1;;1;0;0;8-14 dní;Propuštěn;1
CZ0413;4104;M;65+;;1;1;0;0;3-7 dní;Zemřel;1
CZ0316;3101;M;65+;;;1;0;0;15+ dní;Propuštěn;3
CZ0312;3103;Z;20-64;1;;1;0;0;8-14 dní;Propuštěn;1
CZ020C;2021;M;65+;;1;1;0;0;1 den;Propuštěn;1
CZ0421;4212;Z;20-64;1;1;0;1;0;8-14 dní;Hospitalizován;1
CZ0533;5308;M;20-64;;1;1;0;0;3-7 dní;Propuštěn;1
CZ0423;4208;Z;65+;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0525;5215;Z;65+;1;;1;0;0;8-14 dní;Zemřel;2
CZ0803;8018;Z;65+;;1;1;0;0;15+ dní;Propuštěn;1
CZ0714;9999;Z;65+;1;;1;0;0;8-14 dní;Zemřel;2
CZ0715;7111;Z;65+;;1;1;0;0;3-7 dní;Propuštěn;1
CZ0204;2006;M;20-64;1;1;0;1;0;15+ dní;Zemřel;1
CZ0635;6314;Z;65+;;;0;0;0;2 dny;Propuštěn;8
CZ0641;6401;M;65+;1;1;1;1;0;3-7 dní;Zemřel;4
CZ0201;2025;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;4
CZ0426;4213;Z;20-64;;;0;0;0;1 den;Propuštěn;3
CZ0522;5204;M;65+;;;0;0;0;3-7 dní;Propuštěn;1
CZ0523;5209;Z;20-64;;;1;0;0;15+ dní;Propuštěn;3
CZ0635;6315;Z;65+;;;1;0;0;1 den;Propuštěn;1
CZ0100;0;M;65+;1;;1;0;0;15+ dní;Hospitalizován;1
CZ0714;7109;Z;20-64;1;1;0;0;0;8-14 dní;Propuštěn;1
CZ0632;6305;Z;65+;;;0;0;0;8-14 dní;Hospitalizován;1
CZ0712;7107;M;20-64;;;1;0;0;8-14 dní;Hospitalizován;2
CZ0712;7107;Z;65+;1;1;1;1;0;8-14 dní;Zemřel;8
CZ0533;5312;M;65+;;;1;0;0;3-7 dní;Propuštěn;8
CZ0722;7207;Z;65+;1;;0;0;0;2 dny;Zemřel;1
CZ020A;2005;M;65+;1;1;1;1;0;15+ dní;Propuštěn;1
CZ0531;5302;M;65+;;;1;0;0;15+ dní;Hospitalizován;1
CZ0412;4106;M;65+;1;1;0;1;0;15+ dní;Hospitalizován;1
CZ0647;6420;M;20-64;1;;0;0;0;3-7 dní;Zemřel;1
CZ0532;5303;M;65+;;;1;0;0;15+ dní;Zemřel;3
CZ0512;5110;M;65+;;;1;0;0;1 den;Zemřel;1
CZ0427;4214;M;65+;1;1;1;0;0;8-14 dní;Zemřel;6
CZ0413;4104;Z;20-64;;1;1;0;0;8-14 dní;Hospitalizován;1
CZ0205;2012;M;20-64;;1;0;0;0;3-7 dní;Propuštěn;2
CZ0634;6306;M;65+;1;;0;0;0;15+ dní;Zemřel;1
CZ0312;3103;Z;20-64;;;1;0;0;3-7 dní;Propuštěn;9
CZ0523;5201;Z;20-64;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0314;9999;M;20-64;;1;0;0;0;3-7 dní;Propuštěn;1
CZ0632;6305;Z;65+;;;0;0;0;15+ dní;Propuštěn;6
CZ0206;2014;M;20-64;1;1;0;1;0;8-14 dní;Hospitalizován;1
CZ0723;7206;M;65+;;;1;0;0;8-14 dní;Propuštěn;15
CZ0324;3212;M;65+;1;1;0;0;0;8-14 dní;Zemřel;1
CZ0525;5214;M;0-19;;;0;0;0;3-7 dní;Propuštěn;1
CZ0635;6308;M;65+;;;1;0;0;1 den;Propuštěn;2
CZ0413;4107;Z;65+;;;0;0;0;8-14 dní;Zemřel;3
CZ0202;2008;Z;20-64;;;1;0;0;3-7 dní;Propuštěn;6
CZ0522;5210;M;65+;1;1;1;0;0;15+ dní;Propuštěn;1
CZ020C;2021;Z;0-19;;;0;0;0;3-7 dní;Propuštěn;3
CZ0525;5215;M;65+;;;1;0;0;3-7 dní;Zemřel;6
CZ0641;6401;M;65+;1;1;1;0;0;8-14 dní;Hospitalizován;1
CZ0804;8005;Z;65+;;;0;0;0;2 dny;Propuštěn;2
CZ0635;6315;M;65+;;;1;0;0;3-7 dní;Zemřel;2
CZ0641;6402;Z;65+;;;0;0;0;15+ dní;Propuštěn;15
CZ0512;5103;Z;65+;;;1;0;0;3-7 dní;Zemřel;7
CZ0426;4201;M;20-64;1;1;1;1;0;15+ dní;Propuštěn;1
CZ020A;2005;Z;65+;;1;1;0;0;1 den;Propuštěn;1
CZ0202;2002;M;65+;;;1;0;0;8-14 dní;Zemřel;3
CZ0209;2003;Z;65+;1;1;1;0;0;8-14 dní;Propuštěn;4
CZ0633;6303;Z;65+;;;1;0;0;3-7 dní;Zemřel;1
CZ0323;3209;Z;65+;;;1;0;0;1 den;Propuštěn;3
CZ0513;5102;M;65+;;;1;0;0;8-14 dní;Propuštěn;12
CZ0801;8020;M;20-64;1;1;1;1;0;3-7 dní;Hospitalizován;1
CZ0324;3210;M;20-64;;1;1;0;0;1 den;Propuštěn;1
CZ0641;6402;M;65+;1;1;1;0;0;8-14 dní;Propuštěn;1
CZ0724;7205;Z;65+;1;;1;0;0;3-7 dní;Zemřel;2
CZ0327;3213;Z;65+;1;1;1;0;0;15+ dní;Propuštěn;1
CZ0321;3202;Z;20-64;1;1;1;1;0;15+ dní;Zemřel;1
CZ0643;6416;M;65+;1;1;0;1;0;8-14 dní;Propuštěn;1
CZ0642;6403;M;65+;1;1;1;0;0;8-14 dní;Zemřel;12
CZ0205;2012;M;0-19;;;0;0;0;2 dny;Propuštěn;1
CZ0522;5204;M;20-64;;;1;0;0;8-14 dní;Zemřel;1
CZ0203;2024;M;65+;1;1;1;1;0;8-14 dní;Propuštěn;4
CZ0801;8003;M;65+;;;1;0;0;2 dny;Zemřel;1
CZ0324;3210;M;20-64;;;0;0;0;1 den;Propuštěn;1
CZ0427;4214;Z;0-19;;;0;0;0;2 dny;Propuštěn;1
CZ020B;2023;M;0-19;;;0;0;0;3-7 dní;Propuštěn;1
CZ0723;7210;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;7
CZ0645;6406;M;65+;;;1;0;0;15+ dní;Hospitalizován;1
CZ0715;7106;M;65+;;;1;0;0;1 den;Zemřel;1
CZ0325;3208;Z;65+;;;0;0;0;3-7 dní;Zemřel;1
CZ020C;2021;M;65+;1;1;0;0;0;1 den;Propuštěn;1
CZ0325;3208;M;65+;1;1;1;0;0;8-14 dní;Propuštěn;1
CZ0804;8001;M;65+;;;0;0;0;15+ dní;Propuštěn;12
CZ0647;6420;Z;20-64;;;1;0;0;2 dny;Propuštěn;6
CZ0642;6403;Z;20-64;1;1;0;1;0;8-14 dní;Zemřel;2
CZ0805;8017;Z;65+;;1;1;0;0;15+ dní;Hospitalizován;1
CZ0421;4212;M;65+;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0642;6403;Z;20-64;1;1;1;0;0;15+ dní;Propuštěn;7
CZ0209;2022;M;65+;;1;1;0;0;3-7 dní;Hospitalizován;1
CZ0423;4211;Z;65+;;;0;0;0;2 dny;Propuštěn;2
CZ0722;7207;M;65+;1;1;0;1;0;8-14 dní;Propuštěn;2
CZ0635;6301;M;65+;;;0;0;0;3-7 dní;Propuštěn;2
CZ0644;6407;Z;65+;1;1;1;1;0;15+ dní;Zemřel;1
CZ0642;6403;Z;65+;;1;1;0;0;2 dny;Propuštěn;2
CZ0327;3215;Z;65+;;;1;0;0;1 den;Propuštěn;2
CZ0201;2026;Z;65+;1;1;0;1;0;15+ dní;Zemřel;1
CZ0531;5304;M;65+;1;1;1;1;0;3-7 dní;Zemřel;4
CZ0635;6315;M;65+;;;1;0;0;15+ dní;Propuštěn;16
CZ0412;4103;M;65+;1;1;0;0;0;8-14 dní;Propuštěn;1
CZ0413;4107;Z;20-64;1;1;0;1;0;1 den;Propuštěn;1
CZ0312;3103;M;65+;1;;1;0;0;3-7 dní;Zemřel;4
CZ0204;2006;Z;65+;;;1;0;0;3-7 dní;Zemřel;4
CZ0413;4107;M;20-64;;1;1;0;0;15+ dní;Propuštěn;2
CZ0534;5314;M;20-64;;;1;0;0;3-7 dní;Zemřel;1
CZ0521;5212;M;65+;;;0;0;0;1 den;Zemřel;1
CZ0326;3211;M;65+;;;1;0;0;15+ dní;Hospitalizován;1
CZ0204;2010;Z;65+;;;0;0;0;15+ dní;Propuštěn;1
CZ0411;4102;Z;65+;1;;0;0;0;1 den;Zemřel;1
CZ0315;3116;Z;65+;1;;1;0;0;15+ dní;Zemřel;1
CZ0644;6411;Z;20-64;;;1;0;0;2 dny;Propuštěn;1
CZ0634;6313;M;65+;1;;1;0;0;15+ dní;Propuštěn;1
CZ020C;2021;Z;65+;;;1;0;0;15+ dní;Zemřel;3
CZ0531;5302;Z;20-64;1;;1;0;0;3-7 dní;Propuštěn;1
CZ0531;9999;Z;65+;;;1;0;0;3-7 dní;Propuštěn;2
CZ0316;3101;M;0-19;;;0;0;0;3-7 dní;Propuštěn;1
CZ0714;7101;M;20-64;;;1;0;0;15+ dní;Propuštěn;1
CZ0311;3113;M;65+;1;;1;0;0;3-7 dní;Propuštěn;4
CZ0634;6313;Z;65+;;;0;0;0;1 den;Hospitalizován;2
CZ0804;8001;Z;20-64;;;0;0;0;2 dny;Propuštěn;1
CZ0202;2008;M;20-64;1;1;1;1;0;15+ dní;Hospitalizován;1
CZ0723;7206;M;65+;;;1;0;0;2 dny;Hospitalizován;1
CZ0631;6311;M;20-64;;;0;0;0;1 den;Propuštěn;1
CZ0207;2016;Z;65+;;;1;0;0;8-14 dní;Zemřel;2
CZ0313;3105;Z;65+;1;1;1;1;0;8-14 dní;Propuštěn;1
CZ0201;9999;M;65+;;;1;0;0;3-7 dní;Propuštěn;1
CZ0806;8019;M;20-64;1;1;1;0;0;15+ dní;Zemřel;2
CZ0423;4205;Z;65+;;;1;0;0;2 dny;Zemřel;5
CZ0100;0;Z;20-64;1;1;1;1;1;15+ dní;Zemřel;1
CZ0641;6401;M;65+;1;1;0;1;0;8-14 dní;Hospitalizován;1
CZ0712;7112;M;65+;;;1;0;0;1 den;Propuštěn;1
CZ0715;7106;M;65+;1;1;1;0;0;15+ dní;Propuštěn;1
CZ0412;4103;Z;65+;1;;1;0;0;3-7 dní;Hospitalizován;1
CZ0511;5106;Z;65+;;;1;0;0;2 dny;Zemřel;1
CZ0802;8006;Z;65+;1;;1;0;0;3-7 dní;Zemřel;16
CZ0713;7108;Z;65+;;;1;0;0;8-14 dní;Zemřel;2
CZ0634;6307;M;20-64;1;1;1;1;0;3-7 dní;Propuštěn;1
CZ0326;3211;M;65+;;;1;0;0;2 dny;Zemřel;1
CZ0206;2014;M;0-19;;;1;0;0;3-7 dní;Propuštěn;1
CZ0803;8018;Z;65+;;;0;0;0;2 dny;Propuštěn;4
CZ0317;3112;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;14
CZ0524;5213;M;65+;1;1;1;0;0;3-7 dní;Zemřel;4
CZ0207;2016;M;65+;1;1;0;1;0;3-7 dní;Zemřel;1
CZ020B;2020;M;65+;;;0;0;0;3-7 dní;Zemřel;4
CZ0806;8019;Z;20-64;1;1;0;1;0;15+ dní;Propuštěn;1
CZ0311;3115;Z;65+;;;1;0;0;15+ dní;Zemřel;1
CZ0422;4204;M;20-64;1;1;1;0;0;3-7 dní;Propuštěn;1
CZ0412;4103;Z;65+;1;1;0;0;0;8-14 dní;Propuštěn;1
CZ0805;8013;Z;20-64;;;0;0;0;3-7 dní;Hospitalizován;1
CZ0201;2026;M;20-64;1;1;1;1;0;8-14 dní;Zemřel;1
CZ0646;6419;M;65+;;;0;0;0;2 dny;Propuštěn;1
CZ0523;5206;Z;65+;1;;1;0;0;8-14 dní;Zemřel;2
CZ0413;4107;M;20-64;1;1;1;0;0;8-14 dní;Propuštěn;1
CZ0203;2009;M;65+;;;1;0;0;8-14 dní;Zemřel;9
CZ0208;2019;Z;65+;1;1;1;1;0;8-14 dní;Propuštěn;1
CZ0322;3203;M;65+;;;0;0;0;3-7 dní;Hospitalizován;1
CZ0422;4204;M;20-64;;;1;0;0;1 den;Propuštěn;1
CZ0423;4205;M;20-64;1;1;1;0;0;3-7 dní;Zemřel;1
CZ0424;4210;M;65+;1;1;0;1;0;3-7 dní;Zemřel;1
CZ0715;7111;Z;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0643;6414;M;65+;1;1;0;1;0;3-7 dní;Zemřel;2
CZ0804;8016;M;65+;;;1;0;0;2 dny;Hospitalizován;1
CZ0802;8006;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;14
CZ0208;2018;Z;65+;;;1;0;0;8-14 dní;Propuštěn;10
CZ0523;5209;Z;65+;1;;0;0;0;3-7 dní;Zemřel;2
CZ0513;5105;M;65+;1;1;1;1;1;15+ dní;Hospitalizován;1
CZ0803;8011;M;65+;;;1;0;0;15+ dní;Hospitalizován;1
CZ0523;5211;Z;65+;;;0;0;0;8-14 dní;Propuštěn;9
CZ0412;4103;Z;65+;;;0;0;0;1 den;Zemřel;1
CZ020B;2020;M;65+;;;0;0;0;1 den;Propuštěn;7
CZ0314;3107;Z;65+;1;;1;0;0;3-7 dní;Zemřel;3
CZ0206;2011;Z;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0643;6417;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;4
CZ0323;3209;Z;65+;1;1;1;1;0;15+ dní;Zemřel;3
CZ0801;8014;Z;20-64;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0805;8017;M;20-64;;;1;0;0;1 den;Propuštěn;1
CZ0524;5202;M;20-64;1;1;0;1;0;15+ dní;Zemřel;1
CZ0631;6302;Z;0-19;;;0;0;0;8-14 dní;Propuštěn;3
CZ0311;3113;Z;65+;1;;0;0;0;8-14 dní;Zemřel;1
CZ0205;2012;Z;65+;;1;1;0;0;15+ dní;Propuštěn;1
CZ0532;5309;M;20-64;;;1;0;0;3-7 dní;Hospitalizován;1
CZ0411;4101;Z;20-64;;;1;0;0;3-7 dní;Hospitalizován;1
CZ0803;8011;Z;65+;1;1;1;0;0;8-14 dní;Propuštěn;3
CZ0325;3208;Z;65+;1;;1;0;0;8-14 dní;Zemřel;2
CZ0206;2017;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;1
CZ0521;5205;Z;65+;;;1;0;0;3-7 dní;Hospitalizován;12
CZ0532;5311;Z;65+;;1;1;0;0;3-7 dní;Propuštěn;1
CZ020B;2020;M;65+;1;1;1;0;0;8-14 dní;Zemřel;1
CZ0803;8018;M;65+;1;1;0;0;0;3-7 dní;Zemřel;3
CZ0204;2010;M;65+;1;1;1;1;0;8-14 dní;Zemřel;1
CZ0645;6418;M;20-64;;1;1;0;0;3-7 dní;Propuštěn;2
CZ0635;6315;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;15
CZ0205;2004;Z;65+;;;1;0;0;3-7 dní;Zemřel;5
CZ0324;3212;Z;65+;1;;0;0;0;1 den;Zemřel;1
CZ0801;8014;M;65+;;;1;0;0;2 dny;Zemřel;2
CZ0723;7212;Z;20-64;;;1;0;0;3-7 dní;Propuštěn;8
CZ0643;6409;Z;65+;;1;1;0;0;8-14 dní;Propuštěn;2
CZ0523;5209;M;20-64;1;1;0;0;0;8-14 dní;Hospitalizován;1
CZ0323;9999;Z;65+;1;1;1;1;0;15+ dní;Zemřel;1
CZ0721;7203;Z;65+;;;1;0;0;15+ dní;Propuštěn;31
CZ0533;5310;Z;65+;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0314;3108;Z;20-64;;1;1;0;0;3-7 dní;Propuštěn;2
CZ0801;8020;M;20-64;;;0;0;0;8-14 dní;Propuštěn;1
CZ0803;8011;M;65+;1;1;1;0;0;2 dny;Zemřel;1
CZ0642;6403;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;46
CZ0643;6416;M;65+;1;1;1;0;0;15+ dní;Hospitalizován;1
CZ0412;4106;M;65+;;;1;0;0;8-14 dní;Zemřel;2
CZ0711;7102;Z;20-64;;;0;0;0;3-7 dní;Hospitalizován;1
CZ0317;3112;M;0-19;;;0;0;0;3-7 dní;Propuštěn;1
CZ0723;7210;M;65+;1;1;0;1;0;15+ dní;Zemřel;2
CZ0511;5106;Z;65+;1;;1;0;0;3-7 dní;Zemřel;1
CZ0411;4102;Z;65+;;;1;0;0;2 dny;Zemřel;7
CZ0803;8018;Z;65+;;;1;0;0;8-14 dní;Zemřel;6
CZ0523;5209;M;65+;1;1;0;0;0;2 dny;Hospitalizován;1
CZ0514;5107;M;65+;;;1;0;0;3-7 dní;Hospitalizován;4
CZ0100;0;M;20-64;1;;1;0;0;3-7 dní;Zemřel;4
CZ0208;2019;Z;65+;1;1;0;1;0;8-14 dní;Zemřel;1
CZ0806;8019;Z;65+;;;0;0;0;15+ dní;Propuštěn;86
CZ0724;7213;M;20-64;;;1;0;0;3-7 dní;Propuštěn;13
CZ0203;2009;M;65+;1;;1;0;0;8-14 dní;Propuštěn;1
CZ0523;5209;M;65+;1;;1;0;0;3-7 dní;Hospitalizován;1
CZ0203;2024;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;3
CZ0324;3201;M;65+;;;1;0;0;3-7 dní;Propuštěn;2
CZ0424;4216;Z;20-64;1;1;1;0;0;8-14 dní;Propuštěn;2
CZ0646;6419;Z;65+;1;;1;0;0;3-7 dní;Hospitalizován;1
CZ0522;5207;M;20-64;1;1;0;1;0;15+ dní;Hospitalizován;1
CZ0100;0;Z;20-64;1;1;0;0;0;3-7 dní;Hospitalizován;1
CZ0806;8019;M;20-64;1;1;1;0;0;2 dny;Propuštěn;1
CZ0522;5204;Z;65+;;;0;0;0;8-14 dní;Hospitalizován;1
CZ0325;3206;Z;65+;1;1;0;1;0;8-14 dní;Hospitalizován;2
CZ0803;8018;Z;20-64;;;0;0;0;8-14 dní;Zemřel;1
CZ0712;7112;Z;65+;1;1;0;1;1;15+ dní;Propuštěn;1
