okres;orp;pohlavi;vek_kat;komplikovany;jip;kyslik;upv;ecmo;delka_hosp;stav;pocet_pac
CZ0634;6313;Z;0-19;;;0;0;0;15+ dní;Propuštěn;1
CZ0325;3206;M;65+;1;1;1;0;0;3-7 dní;Zemřel;2
CZ0806;9999;M;20-64;;;0;0;0;8-14 dní;Propuštěn;1
CZ0721;7202;M;65+;1;;1;0;0;8-14 dní;Zemřel;3
CZ0633;6310;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;8
CZ0513;5109;Z;65+;;;1;0;0;2 dny;Zemřel;1
CZ0100;0;M;20-64;1;1;0;1;1;15+ dní;Hospitalizován;1
CZ0411;4102;M;65+;1;1;0;0;0;15+ dní;Propuštěn;1
CZ0635;6308;Z;65+;;1;1;0;0;15+ dní;Propuštěn;1
CZ0802;8021;M;65+;;;0;0;0;3-7 dní;Propuštěn;21
CZ0423;4211;M;65+;;;1;0;0;8-14 dní;Hospitalizován;2
CZ0533;5310;M;65+;1;1;1;0;0;15+ dní;Hospitalizován;2
CZ0803;8011;Z;65+;1;;0;0;0;1 den;Zemřel;7
CZ0426;4213;M;65+;1;1;0;1;0;15+ dní;Zemřel;1
CZ0641;6402;M;65+;;;1;0;0;3-7 dní;Zemřel;12
CZ0324;3201;M;65+;1;;0;0;0;1 den;Zemřel;1
CZ0633;6310;M;65+;;;0;0;0;3-7 dní;Propuštěn;12
CZ0324;3201;M;20-64;1;1;0;1;0;8-14 dní;Zemřel;1
CZ0803;8008;M;20-64;;;0;0;0;15+ dní;Propuštěn;7
CZ0523;5209;Z;20-64;1;;1;0;0;8-14 dní;Propuštěn;1
CZ0723;7212;Z;20-64;;;1;0;0;8-14 dní;Propuštěn;11
CZ0647;6420;M;65+;;;0;0;0;3-7 dní;Zemřel;2
CZ0209;2022;M;65+;;;1;0;0;2 dny;Propuštěn;1
CZ020B;2020;Z;65+;;;1;0;0;2 dny;Propuštěn;3
CZ0426;4213;Z;65+;1;1;1;0;0;8-14 dní;Zemřel;3
CZ0208;2019;Z;20-64;1;1;1;0;0;3-7 dní;Propuštěn;1
CZ0714;7109;M;65+;1;1;0;1;0;15+ dní;Zemřel;1
CZ0631;6311;Z;65+;1;;0;0;0;8-14 dní;Zemřel;1
CZ0209;2022;Z;65+;;1;1;0;0;1 den;Zemřel;1
CZ0804;8015;M;65+;1;;0;0;0;3-7 dní;Zemřel;2
CZ0524;5208;M;65+;1;1;0;0;0;3-7 dní;Zemřel;2
CZ0202;2002;Z;65+;1;;0;0;0;1 den;Zemřel;1
CZ0313;3114;Z;20-64;;;1;0;0;15+ dní;Propuštěn;2
CZ0204;2010;Z;20-64;;;1;0;0;2 dny;Propuštěn;3
CZ020A;2005;M;65+;;1;0;0;0;8-14 dní;Propuštěn;3
CZ0643;6409;Z;20-64;;1;0;0;0;2 dny;Propuštěn;1
CZ0802;8006;M;20-64;1;1;1;1;0;2 dny;Propuštěn;1
CZ0313;3114;Z;65+;;;1;0;0;8-14 dní;Propuštěn;3
CZ0411;4101;Z;65+;1;;1;0;0;8-14 dní;Zemřel;1
CZ0803;8018;M;65+;1;1;1;0;0;3-7 dní;Zemřel;1
CZ0646;6405;M;65+;;1;1;0;0;15+ dní;Propuštěn;1
CZ0715;7113;Z;20-64;;;1;0;0;3-7 dní;Propuštěn;4
CZ0804;8015;Z;65+;1;1;1;0;0;8-14 dní;Propuštěn;2
CZ0714;7101;Z;65+;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0202;2008;M;65+;1;1;0;1;0;15+ dní;Zemřel;1
CZ0644;6407;M;20-64;;1;0;0;0;8-14 dní;Propuštěn;1
CZ0641;6402;Z;65+;;;1;0;0;8-14 dní;Zemřel;6
CZ0521;5205;Z;65+;;;0;0;0;8-14 dní;Hospitalizován;1
CZ0533;5312;M;65+;;;1;0;0;8-14 dní;Zemřel;4
CZ0513;5109;Z;65+;;;1;0;0;8-14 dní;Hospitalizován;1
CZ0644;6411;M;65+;;;0;0;0;3-7 dní;Zemřel;1
CZ0201;2025;Z;65+;;;1;0;0;15+ dní;Propuštěn;8
CZ0635;6308;M;65+;1;1;1;1;0;8-14 dní;Hospitalizován;2
CZ0635;6314;Z;20-64;;;0;0;0;1 den;Propuštěn;4
CZ0521;5205;Z;20-64;1;1;1;0;0;8-14 dní;Hospitalizován;2
CZ0311;3113;M;20-64;;;0;0;0;8-14 dní;Propuštěn;2
CZ0412;4103;Z;20-64;;;0;0;0;3-7 dní;Zemřel;1
CZ0634;6307;Z;20-64;;;1;0;0;2 dny;Propuštěn;2
CZ0801;8014;Z;65+;1;1;0;1;0;3-7 dní;Zemřel;1
CZ0512;5103;M;65+;1;1;0;1;0;3-7 dní;Zemřel;1
CZ0721;7203;Z;65+;1;;0;0;0;3-7 dní;Zemřel;3
CZ0425;4206;M;65+;;;1;0;0;8-14 dní;Hospitalizován;1
CZ0532;5311;M;65+;;;1;0;0;3-7 dní;Hospitalizován;3
CZ0534;5305;M;20-64;;;1;0;0;3-7 dní;Propuštěn;1
CZ0523;5201;M;20-64;1;1;0;0;0;15+ dní;Hospitalizován;1
CZ0422;4204;Z;0-19;;1;0;0;0;2 dny;Propuštěn;1
CZ0424;4216;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;6
CZ0204;2010;M;65+;;1;1;0;0;1 den;Zemřel;1
CZ0521;5205;M;20-64;1;1;0;1;0;15+ dní;Hospitalizován;3
CZ0204;2010;Z;0-19;;1;0;0;0;8-14 dní;Propuštěn;1
CZ0712;7105;M;20-64;;;0;0;0;8-14 dní;Zemřel;1
CZ0805;8017;Z;65+;;1;1;0;0;15+ dní;Zemřel;1
CZ0323;3209;M;65+;1;1;0;1;0;8-14 dní;Zemřel;5
CZ0521;5205;M;65+;;;1;0;0;15+ dní;Propuštěn;43
CZ0712;7110;Z;65+;1;;1;0;0;3-7 dní;Zemřel;2
CZ0801;8014;Z;65+;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0421;4202;Z;65+;1;;1;0;0;8-14 dní;Zemřel;1
CZ0524;5208;M;65+;1;1;1;0;0;3-7 dní;Zemřel;1
CZ0423;4205;Z;65+;;;0;0;0;2 dny;Propuštěn;1
CZ0422;4203;M;65+;1;;0;0;0;3-7 dní;Zemřel;1
CZ0645;6418;M;65+;1;1;0;1;0;2 dny;Zemřel;2
CZ0514;5104;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;1
CZ0712;7112;Z;65+;;;0;0;0;3-7 dní;Propuštěn;5
CZ0202;2008;M;65+;1;1;1;1;0;15+ dní;Propuštěn;1
CZ0534;5306;M;65+;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0424;4207;Z;65+;1;;1;0;0;3-7 dní;Zemřel;2
CZ0204;2010;Z;20-64;;;0;0;0;8-14 dní;Hospitalizován;1
CZ0715;7106;Z;65+;;;0;0;0;15+ dní;Propuštěn;1
CZ0806;9999;Z;65+;;;1;0;0;3-7 dní;Zemřel;2
CZ0633;6303;Z;65+;;;0;0;0;3-7 dní;Propuštěn;6
CZ0315;3109;M;65+;1;;1;0;0;8-14 dní;Propuštěn;1
CZ0712;7112;M;65+;1;;1;0;0;3-7 dní;Hospitalizován;1
CZ0208;2019;Z;20-64;;;1;0;0;3-7 dní;Propuštěn;5
CZ0327;3215;M;20-64;1;1;1;0;0;15+ dní;Hospitalizován;1
CZ0715;7111;M;0-19;;;0;0;0;2 dny;Propuštěn;4
CZ0100;0;Z;65+;;1;1;0;0;2 dny;Hospitalizován;2
CZ0806;8019;M;65+;1;1;1;1;0;2 dny;Zemřel;1
CZ0724;7209;M;65+;;;1;0;0;8-14 dní;Zemřel;3
CZ0322;3205;M;65+;;;1;0;0;15+ dní;Propuštěn;14
CZ0804;8015;M;20-64;1;1;0;1;1;15+ dní;Propuštěn;1
CZ0724;7213;M;65+;1;1;1;1;0;15+ dní;Zemřel;4
CZ0203;2024;Z;65+;;;1;0;0;8-14 dní;Zemřel;2
CZ0642;6403;M;20-64;1;1;0;0;0;3-7 dní;Propuštěn;1
CZ0802;8007;M;65+;;;1;0;0;3-7 dní;Hospitalizován;1
CZ0641;6402;M;65+;1;1;0;1;0;15+ dní;Propuštěn;2
CZ0534;5306;Z;65+;;;1;0;0;2 dny;Propuštěn;1
CZ0412;4103;M;20-64;;1;1;0;0;8-14 dní;Propuštěn;1
CZ0206;2011;M;65+;;;1;0;0;1 den;Zemřel;3
CZ0521;5205;Z;65+;;;1;0;0;8-14 dní;Hospitalizován;10
CZ0522;5207;M;65+;;;0;0;0;15+ dní;Zemřel;1
CZ0803;8008;M;20-64;1;1;1;0;0;15+ dní;Propuštěn;2
CZ0321;3202;M;65+;;;1;0;0;8-14 dní;Hospitalizován;2
CZ0805;8009;M;65+;1;;1;0;0;15+ dní;Zemřel;1
CZ0208;2018;Z;65+;1;1;1;0;0;8-14 dní;Propuštěn;2
CZ0804;8015;M;65+;;;0;0;0;3-7 dní;Zemřel;2
CZ0724;7209;M;65+;1;1;1;0;0;15+ dní;Zemřel;1
CZ0645;6418;Z;20-64;;;0;0;0;3-7 dní;Propuštěn;13
CZ0424;4216;Z;65+;;1;1;0;0;15+ dní;Propuštěn;1
CZ0316;3101;Z;65+;1;1;1;0;0;8-14 dní;Zemřel;1
CZ0323;3209;M;65+;1;1;1;1;0;3-7 dní;Hospitalizován;1
CZ0513;5105;Z;20-64;;1;1;0;0;8-14 dní;Propuštěn;2
CZ0532;5309;Z;20-64;1;1;1;0;0;8-14 dní;Propuštěn;2
CZ0312;3103;M;65+;1;;1;0;0;8-14 dní;Zemřel;6
CZ0525;5215;M;65+;1;;0;0;0;1 den;Zemřel;1
CZ0643;6414;M;65+;1;1;1;0;0;1 den;Zemřel;1
CZ0532;5303;M;20-64;1;;1;0;0;8-14 dní;Propuštěn;1
CZ0803;8011;M;20-64;;;1;0;0;3-7 dní;Hospitalizován;1
CZ0321;3202;M;65+;;;0;0;0;15+ dní;Propuštěn;6
CZ0722;7207;Z;65+;1;1;1;1;0;3-7 dní;Zemřel;2
CZ0534;5306;Z;20-64;1;1;1;1;0;3-7 dní;Zemřel;1
CZ0525;5203;Z;65+;;;0;0;0;2 dny;Propuštěn;4
CZ0525;9999;M;65+;;;1;0;0;3-7 dní;Zemřel;1
